150311F1.CXS,FALSE,445,0,445,,,,,,
150311F2.CXS,TRUE,440,5,445,,,,,,
150312B1.CXS,TRUE,426,21,447,,,,,,
150312B2.CXS,TRUE,416,31,447,,,,,,
150312F1.CXS,FALSE,447,0,447,,,,,,
150312F2.CXS,TRUE,444,3,447,,,,,,
150313B1.CXS,TRUE,427,20,447,,,,,,
150313B2.CXS,TRUE,418,29,447,,,,,,
150313F1.CXS,FALSE,447,0,447,,,,,,
150313F2.CXS,TRUE,441,6,447,,,,,,
150314B1.CXS,TRUE,422,25,447,,,,,,
150314B2.CXS,TRUE,418,29,447,,,,,,
150314F1.CXS,FALSE,447,0,447,,,,,,
150314F2.CXS,TRUE,441,6,447,,,,,,
150315B1.CXS,TRUE,413,31,444,,,,,,
150315B2.CXS,TRUE,414,30,444,,,,,,
150315F1.CXS,FALSE,444,0,444,,,,,,
150315F2.CXS,TRUE,439,5,444,,,,,,
150316B1.CXS,TRUE,417,29,446,,,,,,
150316B2.CXS,TRUE,413,33,446,,,,,,
150316F1.CXS,FALSE,446,0,446,,,,,,
150316F2.CXS,TRUE,442,4,446,,,,,,
